model,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,total_time_sec
HistGradientBoosting,0.7800056619753553,0.009580884347001509,0.7112157273402067,0.008804440411016759,0.9283049571383432,0.0018135930676867194,29.46103919998859
LogisticRegression,0.7498342792332234,0.005039322119870841,0.6738543170684421,0.004336854830616233,0.9128907727911146,0.0022778313984161648,7.616407199995592
RandomForest,0.7287819572011965,0.008259718533612483,0.6734620859735306,0.007941147183411107,0.9047497196424199,0.002562721006286114,54.29775119997794
