id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
10739,Carlton Blues,18,1983-07-30,1983,H,Sydney Swans,2.4 3.13 11.16 17.17,119,5.2 6.4 8.6 11.9,75,W,44,Princes Park,17891.0,17,17,11,9
10745,Carlton Blues,1,1984-03-31,1984,A,North Melbourne Kangaroos,5.4 16.5 23.10 31.13,199,2.2 4.3 6.6 9.8,62,W,137,Waverley Park,36504.0,31,13,9,8
10741,Carlton Blues,20,1983-08-13,1983,A,Hawthorn Hawks,4.1 5.3 15.6 20.9,129,6.5 9.11 11.15 15.22,112,W,17,Princes Park,28476.0,20,9,15,22
10742,Carlton Blues,21,1983-08-20,1983,H,North Melbourne Kangaroos,1.3 6.8 13.11 18.18,126,5.6 9.7 12.9 13.15,93,W,33,Princes Park,32610.0,18,18,13,15
10743,Carlton Blues,22,1983-08-27,1983,A,Essendon Bombers,2.7 5.11 6.18 8.19,67,2.2 6.4 11.6 18.10,118,L,51,Waverley Park,64232.0,8,19,18,10
10744,Carlton Blues,EF,1983-09-03,1983,A,Essendon Bombers,3.3 8.4 11.7 12.9,81,4.3 7.5 14.5 17.12,114,L,33,Waverley Park,65881.0,12,9,17,12
10746,Carlton Blues,2,1984-04-07,1984,A,Fitzroy Lions,10.2 12.6 16.10 18.13,121,4.6 7.6 12.12 16.15,111,W,10,Junction Oval,22240.0,18,13,16,15
10747,Carlton Blues,3,1984-04-14,1984,H,Geelong Cats,2.1 9.3 12.7 15.7,97,2.3 11.6 16.9 19.12,126,L,29,Princes Park,28784.0,15,7,19,12
10769,Carlton Blues,1,1985-03-30,1985,H,Western Bulldogs,3.2 5.4 11.6 17.10,112,3.2 9.3 17.7 22.10,142,L,30,Princes Park,27059.0,17,10,22,10
10749,Carlton Blues,5,1984-04-25,1984,H,Collingwood Magpies,2.3 5.6 8.10 9.17,71,3.3 5.8 9.11 10.16,76,L,5,Waverley Park,68082.0,9,17,10,16
10751,Carlton Blues,7,1984-05-12,1984,A,Melbourne Demons,2.6 4.6 10.11 18.14,122,6.4 11.5 15.7 16.9,105,W,17,Melbourne Cricket Ground,41079.0,18,14,16,9
10752,Carlton Blues,8,1984-05-19,1984,H,Hawthorn Hawks,3.4 5.11 10.11 12.11,83,10.3 13.6 17.8 23.13,151,L,68,Princes Park,31944.0,12,11,23,13
10753,Carlton Blues,9,1984-05-26,1984,A,Essendon Bombers,5.5 8.7 8.9 9.12,66,2.6 8.8 13.13 16.17,113,L,47,Windy Hill,27346.0,9,12,16,17
10754,Carlton Blues,10,1984-06-03,1984,A,Sydney Swans,6.1 9.11 14.14 20.19,139,1.3 4.8 8.9 12.15,87,W,52,Sydney Cricket Ground,25062.0,20,19,12,15
10755,Carlton Blues,11,1984-06-11,1984,H,Western Bulldogs,6.0 14.2 19.6 22.11,143,6.3 7.7 13.9 16.13,109,W,34,Princes Park,29982.0,22,11,16,13
10758,Carlton Blues,14,1984-06-30,1984,H,Richmond Tigers,5.3 11.8 14.12 23.14,152,0.6 2.9 4.10 4.13,37,W,115,Princes Park,21653.0,23,14,4,13
10759,Carlton Blues,15,1984-07-07,1984,A,Collingwood Magpies,4.3 10.6 13.6 14.13,97,4.2 5.6 8.16 9.16,70,W,27,Waverley Park,48218.0,14,13,9,16
10760,Carlton Blues,16,1984-07-21,1984,A,St Kilda Saints,3.1 8.2 10.3 13.6,84,4.3 10.5 12.8 16.9,105,L,21,Moorabbin Oval,17182.0,13,6,16,9
10761,Carlton Blues,17,1984-07-28,1984,H,Melbourne Demons,2.3 4.6 6.7 7.10,52,0.3 0.3 3.6 3.8,26,W,26,Princes Park,17917.0,7,10,3,8
10762,Carlton Blues,18,1984-08-04,1984,A,Hawthorn Hawks,1.1 6.5 12.7 16.12,108,7.4 8.7 11.11 21.14,140,L,32,Princes Park,23368.0,16,12,21,14
10763,Carlton Blues,19,1984-08-11,1984,H,Essendon Bombers,2.4 5.10 11.15 12.18,90,3.3 8.6 9.9 15.12,102,L,12,Princes Park,26876.0,12,18,15,12
10765,Carlton Blues,21,1984-08-25,1984,A,Western Bulldogs,0.4 3.6 5.10 7.16,58,2.3 4.6 11.7 14.9,93,L,35,Western Oval,20890.0,7,16,14,9
